paramHeader,param,est,se,pval
PMN.BY,PHIPP,0.43,0.007,< 0.001
,PREC,0.642,0.007,< 0.001
,PCC,0.671,0.004,< 0.001
,MPFC,0.506,0.006,< 0.001
,PHC,0.345,0.008,< 0.001
,RSC,0.46,0.006,< 0.001
,AAG,0.699,0.005,< 0.001
,PAG,0.43,0.006,< 0.001
MEMQ.BY,SCENE,0.682,0.058,< 0.001
,COLOR,0.472,0.046,< 0.001
,SOUND,0.479,0.033,< 0.001
MEMQ.WITH,PMN,0.17,0.021,< 0.001
RSC.WITH,PHC,0.26,0.012,< 0.001
PAG.WITH,PHC,0.258,0.006,< 0.001
