paramHeader,param,est,se,pval
PMN.BY,PHIPP,0.548,0.005,< 0.001
PMN.BY,PREC,0.628,0.005,< 0.001
PMN.BY,PCC,0.745,0.003,< 0.001
PMN.BY,MPFC,0.58,0.005,< 0.001
PMN.BY,PHC,0.508,0.006,< 0.001
PMN.BY,RSC,0.548,0.005,< 0.001
PMN.BY,AAG,0.717,0.005,< 0.001
PMN.BY,PAG,0.655,0.004,< 0.001
MEMQ.BY,SCECORR,0.679,0.059,< 0.001
MEMQ.BY,COLCORR,0.46,0.042,< 0.001
MEMQ.BY,EMOCORR,0.482,0.027,< 0.001
MEMQ.WITH,PMN,0.13,0.025,< 0.001
PAG.WITH,MPFC,-0.277,0.005,< 0.001
