paramHeader,param,est,se,pval
VPMN.BY,RSC,0.639,0.006,< 0.001
VPMN.BY,PHC,0.6,0.006,< 0.001
VPMN.BY,PAG,0.709,0.004,< 0.001
DPMN.BY,MPFC,0.553,0.005,< 0.001
DPMN.BY,PHIPP,0.561,0.005,< 0.001
DPMN.BY,PREC,0.654,0.004,< 0.001
DPMN.BY,PCC,0.784,0.002,< 0.001
DPMN.BY,AAG,0.748,0.005,< 0.001
MEMQ.BY,SCECORR,0.686,0.057,< 0.001
MEMQ.BY,COLCORR,0.458,0.04,< 0.001
MEMQ.BY,EMOCORR,0.476,0.027,< 0.001
MEMQ.ON,VPMN,0.237,0.099,  0.017
MEMQ.ON,DPMN,-0.085,0.096,  0.376
DPMN.WITH,VPMN,0.756,0.005,< 0.001
